# ep	d_lat	d_lon	fecha
LPGS	0.009	-0.001	2014-02-19
MA01	0.007	-0.014	2014-02-19
MZAC	0.010	0.005	2014-02-19
SL01	-0.076	-0.035	2014-02-19
UCOR	0.004	-0.006	2014-02-19
UNRO	-0.002	0.003	2014-02-19
UNSA	0.006	-0.010	2014-02-19
UYTA	0.005	-0.000	2014-02-19
VBCA	0.012	-0.017	2014-02-19
GUAY	0.003	-0.007	2014-02-19
MPL2	0.008	-0.006	2014-02-19
NESA	0.000	-0.036	2014-02-19
PRNA	0.025	-0.004	2014-02-19
UYPA	0.010	-0.004	2014-02-19
UYSO	0.007	0.005	2014-02-19
ALUM	-0.006	0.002	2014-04-30
AZUL	0.005	-0.004	2014-04-30
BCAR	-0.004	-0.004	2014-04-30
CATA	-0.008	0.008	2014-04-30
EBYP	-0.003	-0.005	2014-04-30
ESQU	0.001	-0.003	2014-04-30
IGM1	0.003	-0.002	2014-04-30
LHCL	0.003	-0.020	2014-04-30
LPGS	0.006	-0.001	2014-04-30
MA01	0.005	-0.016	2014-04-30
MZAC	0.007	0.001	2014-04-30
SL01	-0.081	-0.038	2014-04-30
UCOR	0.001	-0.009	2014-04-30
UNRO	-0.003	0.001	2014-04-30
UNSA	0.003	-0.014	2014-04-30
UYTA	0.002	-0.001	2014-04-30
VBCA	0.009	-0.016	2014-04-30
CORD	-0.008	0.001	2014-04-30
NESA	-0.004	-0.037	2014-04-30
PRNA	0.021	-0.004	2014-04-30
UYPA	0.007	-0.006	2014-04-30
UYSO	0.003	0.004	2014-04-30
AZUL	0.003	-0.002	2014-07-09
BCAR	-0.006	-0.001	2014-07-09
CATA	-0.009	0.011	2014-07-09
EBYP	-0.006	-0.002	2014-07-09
ESQU	-0.004	-0.001	2014-07-09
IGM1	0.003	-0.001	2014-07-09
LHCL	0.000	-0.018	2014-07-09
LPGS	0.004	0.000	2014-07-09
MA01	0.002	-0.013	2014-07-09
MZAC	0.004	0.002	2014-07-09
SL01	-0.085	-0.037	2014-07-09
TUCU	-0.006	0.013	2014-07-09
UCOR	-0.003	-0.009	2014-07-09
UNRO	-0.003	0.003	2014-07-09
UNSA	-0.001	-0.011	2014-07-09
UYTA	0.000	0.002	2014-07-09
VBCA	0.006	-0.015	2014-07-09
CORD	-0.011	0.004	2014-07-09
NESA	-0.007	-0.034	2014-07-09
PRNA	0.018	-0.002	2014-07-09
UYPA	0.006	-0.004	2014-07-09
UYSO	0.002	0.006	2014-07-09
ALUM	-0.010	0.003	2014-09-17
BCAR	-0.007	-0.003	2014-09-17
CATA	-0.011	0.009	2014-09-17
EBYP	-0.007	-0.003	2014-09-17
ESQU	-0.001	-0.001	2014-09-17
IGM1	-0.001	-0.002	2014-09-17
LHCL	-0.000	-0.020	2014-09-17
LPGS	0.004	-0.001	2014-09-17
MA01	0.001	-0.015	2014-09-17
MZAC	0.003	-0.002	2014-09-17
SL01	-0.084	-0.039	2014-09-17
TUCU	-0.006	0.011	2014-09-17
UCOR	-0.004	-0.010	2014-09-17
UNRO	-0.006	0.002	2014-09-17
UNSA	0.001	-0.012	2014-09-17
UYTA	-0.001	0.000	2014-09-17
VBCA	0.006	-0.021	2014-09-17
CORD	-0.011	0.002	2014-09-17
GUAY	0.000	-0.007	2014-09-17
NESA	-0.006	-0.036	2014-09-17
PEJO	-0.010	0.008	2014-09-17
PRNA	0.017	-0.003	2014-09-17
UYPA	0.004	-0.006	2014-09-17
UYSO	0.002	0.005	2014-09-17
ALUM	-0.006	0.003	2014-11-26
AZUL	0.008	-0.004	2014-11-26
BCAR	-0.001	-0.005	2014-11-26
CATA	-0.006	0.011	2014-11-26
EBYP	-0.003	-0.002	2014-11-26
ESQU	0.006	0.001	2014-11-26
IGM1	0.003	-0.002	2014-11-26
LHCL	0.007	-0.021	2014-11-26
LPGS	0.009	-0.003	2014-11-26
MA01	0.008	-0.014	2014-11-26
MZAC	0.008	-0.002	2014-11-26
RWSN	-0.013	0.040	2014-11-26
SL01	-0.079	-0.038	2014-11-26
SRLP	0.006	-0.019	2014-11-26
TUCU	0.002	0.009	2014-11-26
UCOR	0.001	-0.009	2014-11-26
UNRO	-0.003	0.003	2014-11-26
UYTA	0.004	-0.002	2014-11-26
GUAY	0.003	-0.007	2014-11-26
MPL2	0.006	-0.001	2014-11-26
NESA	0.001	-0.038	2014-11-26
PEJO	-0.003	0.007	2014-11-26
PRNA	0.024	-0.004	2014-11-26
UYPA	0.009	-0.006	2014-11-26
UYSO	0.007	0.004	2014-11-26
ALUM	-0.006	0.004	2015-02-04
AZUL	0.009	-0.001	2015-02-04
BCAR	-0.002	-0.002	2015-02-04
CATA	-0.005	0.014	2015-02-04
EBYP	-0.002	-0.002	2015-02-04
ESQU	0.005	-0.000	2015-02-04
IGM1	0.001	0.001	2015-02-04
LHCL	0.006	-0.019	2015-02-04
LPGS	0.008	-0.001	2015-02-04
MA01	0.005	-0.011	2015-02-04
MZAC	0.009	-0.001	2015-02-04
RWSN	0.018	0.054	2015-02-04
SL01	-0.078	-0.037	2015-02-04
SRLP	0.006	-0.017	2015-02-04
TUCU	-0.001	0.007	2015-02-04
UCOR	0.002	-0.007	2015-02-04
UNRO	-0.004	0.005	2015-02-04
UNSA	0.003	-0.009	2015-02-04
UYTA	0.005	-0.001	2015-02-04
VBCA	0.010	-0.018	2015-02-04
CORD	-0.004	0.004	2015-02-04
GUAY	0.004	-0.006	2015-02-04
MPL2	0.006	0.001	2015-02-04
NESA	-0.001	-0.035	2015-02-04
PEJO	-0.004	0.010	2015-02-04
PRNA	0.025	-0.002	2015-02-04
UYPA	0.008	-0.005	2015-02-04
UYSO	0.006	0.005	2015-02-04
ALUM	-0.008	0.002	2015-04-15
AZUL	0.008	-0.003	2015-04-15
BCAR	-0.006	-0.002	2015-04-15
CATA	-0.008	0.013	2015-04-15
EBYP	-0.004	-0.003	2015-04-15
ESQU	0.001	0.001	2015-04-15
IGM1	-0.000	0.000	2015-04-15
LHCL	0.003	-0.020	2015-04-15
LPGS	0.007	-0.000	2015-04-15
MA01	0.003	-0.013	2015-04-15
MZAC	0.006	-0.003	2015-04-15
RWSN	0.014	0.052	2015-04-15
SL01	-0.081	-0.038	2015-04-15
SRLP	0.002	-0.017	2015-04-15
TUCU	-0.003	0.012	2015-04-15
UCOR	-0.001	-0.008	2015-04-15
UNRO	-0.005	0.003	2015-04-15
UNSA	0.004	-0.009	2015-04-15
UYTA	0.002	-0.001	2015-04-15
VBCA	0.006	-0.019	2015-04-15
CORD	-0.006	0.005	2015-04-15
GUAY	0.002	-0.004	2015-04-15
MPL2	0.003	0.001	2015-04-15
NESA	-0.006	-0.035	2015-04-15
PEJO	-0.008	0.009	2015-04-15
PRNA	0.022	-0.003	2015-04-15
UYPA	0.007	-0.005	2015-04-15
UYSO	0.003	0.005	2015-04-15
ALUM	-0.010	0.004	2015-06-24
AZUL	0.007	-0.001	2015-06-24
BCAR	-0.006	0.001	2015-06-24
CATA	-0.007	0.017	2015-06-24
EBYP	-0.002	-0.001	2015-06-24
ESQU	-0.001	0.002	2015-06-24
IGM1	0.003	0.001	2015-06-24
LHCL	0.003	-0.018	2015-06-24
LPGS	0.005	0.002	2015-06-24
MZAC	0.006	-0.001	2015-06-24
RWSN	0.008	0.055	2015-06-24
SL01	-0.083	-0.035	2015-06-24
SRLP	0.002	-0.013	2015-06-24
TUCU	-0.005	0.017	2015-06-24
UCOR	-0.001	-0.006	2015-06-24
UNRO	-0.002	0.003	2015-06-24
UNSA	-0.000	-0.020	2015-06-24
UYTA	0.004	0.003	2015-06-24
VBCA	0.006	-0.016	2015-06-24
CORD	-0.010	0.007	2015-06-24
MPL2	0.004	0.004	2015-06-24
NESA	-0.005	-0.031	2015-06-24
PEJO	-0.008	0.012	2015-06-24
PRNA	0.020	-0.002	2015-06-24
UYPA	0.007	-0.002	2015-06-24
UYSO	0.004	0.008	2015-06-24
ALUM	-0.011	0.003	2015-09-02
AZUL	0.006	-0.002	2015-09-02
BCAR	-0.004	-0.001	2015-09-02
CATA	-0.010	0.015	2015-09-02
EBYP	-0.003	-0.001	2015-09-02
ESQU	0.000	0.002	2015-09-02
IGM1	0.002	-0.001	2015-09-02
LHCL	0.003	-0.020	2015-09-02
LPGS	0.006	0.000	2015-09-02
MA01	0.001	-0.010	2015-09-02
MZAC	0.005	-0.003	2015-09-02
RWSN	0.016	0.056	2015-09-02
SL01	-0.082	-0.037	2015-09-02
SRLP	0.003	-0.016	2015-09-02
TUCU	-0.005	0.011	2015-09-02
UCOR	-0.001	-0.006	2015-09-02
UNRO	-0.003	0.005	2015-09-02
UNSA	0.001	-0.020	2015-09-02
UYTA	0.002	0.002	2015-09-02
VBCA	0.007	-0.018	2015-09-02
CORD	-0.009	0.006	2015-09-02
MPL2	0.004	0.002	2015-09-02
NESA	-0.005	-0.034	2015-09-02
PEJO	-0.007	0.010	2015-09-02
PRNA	0.020	-0.001	2015-09-02
RECO	0.006	-0.005	2015-09-02
UYPA	0.005	-0.006	2015-09-02
UYSO	0.004	0.004	2015-09-02
ALUM	-0.015	-0.009	2015-11-11
AZUL	0.009	-0.002	2015-11-11
BCAR	-0.001	-0.002	2015-11-11
CATA	-0.012	0.001	2015-11-11
EBYP	-0.002	-0.003	2015-11-11
ESQU	0.003	0.002	2015-11-11
IGM1	0.002	-0.002	2015-11-11
LHCL	0.007	-0.021	2015-11-11
LPGS	0.008	-0.003	2015-11-11
MA01	0.003	-0.009	2015-11-11
MZAC	0.022	-0.047	2015-11-11
RWSN	0.012	0.065	2015-11-11
SL01	-0.076	-0.054	2015-11-11
SRLP	0.006	-0.019	2015-11-11
TUCU	-0.007	0.004	2015-11-11
UNRO	-0.003	-0.001	2015-11-11
UNSA	0.001	-0.024	2015-11-11
UYTA	0.004	-0.001	2015-11-11
VBCA	0.010	-0.018	2015-11-11
CORD	-0.007	-0.010	2015-11-11
GUAY	0.004	-0.009	2015-11-11
MPL2	0.006	0.002	2015-11-11
NESA	-0.001	-0.034	2015-11-11
PEJO	-0.004	0.008	2015-11-11
PRNA	0.022	-0.007	2015-11-11
RECO	0.007	-0.010	2015-11-11
UYPA	0.009	-0.007	2015-11-11
UYSO	0.007	0.003	2015-11-11
ALUM	-0.011	-0.010	2016-01-20
AZUL	0.013	-0.004	2016-01-20
BCAR	0.001	-0.002	2016-01-20
CATA	-0.008	-0.000	2016-01-20
EBYP	0.003	-0.004	2016-01-20
